proj[] = , 6053.0
proj[] = add, Activation, add, Dropout, add, Dense, add, Activation, , 115.0
proj[] = Activation, Sequential, add, Cosine, add, Reshape, Sequential, add, , 14.0
proj[] = Activation, add, Dropout, add, Dense, add, Activation, compile, , 14.0
proj[] = Conv2D, add, Conv2D, add, Conv2D, add, Flatten, add, , 14.0
proj[] = Flatten, 'flatten', Dense, 'fc1', Dense, 'fc2', Dense, 'predictions', , 14.0
proj[] = Flatten, add, Dense, add, Dropout, add, Dense, compile, , 14.0
proj[] = Sequential, add, Conv2D, add, Conv2D, add, Conv2D, add, , 14.0
proj[] = Sequential, add, Dense, add, Dense, Adadelta, compile, realpath, , 14.0
proj[] = UpSampling2D, add, Conv2D, add, Activation, add, BatchNormalization, add, , 14.0
proj[] = _build_arg_scope_with_conv_hyperparams, predict, concat, concat, global_variables_initializer, run, run, shape, , 14.0
proj[] = add, Activation, Sequential, add, Cosine, add, Reshape, Sequential, , 14.0
proj[] = add, Activation, add, MaxPooling2D, add, Flatten, add, Dense, , 14.0
proj[] = add, Conv2D, add, Conv2D, add, Conv2D, add, Flatten, , 14.0
proj[] = add, GraphPool, add, GraphConv, add, GraphPool, add, Dense, , 14.0
proj[] = add, UpSampling2D, add, Conv2D, add, Activation, add, BatchNormalization, , 14.0
proj[] = astype, astype, print, print, print, to_categorical, to_categorical, Sequential, , 14.0
proj[] = astype, astype, to_categorical, to_categorical, Sequential, add, Dense, add, , 14.0
proj[] = astype, print, print, print, to_categorical, to_categorical, Sequential, add, , 14.0
proj[] = astype, ravel, concatenate, zeros, predict, reshape, zeros, predict, , 14.0
proj[] = conv_block, merge, conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, Dense, , 14.0
proj[] = fit, predict, isinstance, sorted, list, DataFrame, dict, drop, , 14.0
proj[] = predict, concat, concat, global_variables_initializer, run, run, shape, shape, , 14.0
proj[] = predict, concat, concat, graph_fn, random_uniform, random_uniform, set, trainable_variables, , 14.0
proj[] = predict, global_variables_initializer, as_default, run, run, zeros, test_session, assertEqual, , 14.0
proj[] = predict, isinstance, sorted, list, DataFrame, dict, drop, Pipeline, , 14.0
proj[] = print, Sequential, add, Dense, add, Activation, add, Dropout, , 14.0
proj[] = print, print, to_categorical, to_categorical, Sequential, add, Conv2D, add, , 14.0
proj[] = ravel, concatenate, zeros, predict, reshape, zeros, predict, reshape, , 14.0
proj[] = , , super, __init__, Linear, Linear, Linear, init_scope, , 13.0
proj[] = Activation, Pooling, Convolution, Activation, Convolution, Activation, Convolution, Activation, , 13.0
proj[] = Activation, add, Convolution2D, add, Activation, add, Convolution2D, add, , 13.0
proj[] = Activation, add, MaxPooling2D, add, Flatten, add, Dense, add, , 13.0
proj[] = BatchNormalization, add, Conv2D, add, LeakyReLU, add, Dropout, add, , 13.0
proj[] = BatchNormalization, add, UpSampling2D, add, Conv2D, add, Activation, add, , 13.0
proj[] = Conv2d, BatchNorm2d, append, block, append, block, range, Sequential, , 13.0
proj[] = Convolution, Activation, Pooling, Convolution, Activation, Convolution, Activation, Convolution, , 13.0
proj[] = Dense, add, Dense, add, Dense, adam, compile, Sequential, , 13.0
proj[] = Dense, add, Dense, add, Dense, rmsprop, compile, Sequential, , 13.0
proj[] = Dropout, add, Conv2D, add, LeakyReLU, add, Dropout, add, , 13.0
proj[] = Dropout, add, TimeDistributedDense, add, Activation, Sequential, add, Cosine, , 13.0
proj[] = Graph, _build_model, placeholder, predict, set, global_variables_initializer, run, run, , 13.0
proj[] = LeakyReLU, add, Dropout, add, Conv2D, add, LeakyReLU, add, , 13.0
proj[] = Pooling, Convolution, Activation, Convolution, Activation, Convolution, Activation, Pooling, , 13.0
proj[] = Sequential, Conv2d, BatchNorm2d, append, block, append, block, range, , 13.0
proj[] = Sequential, add, Conv2D, add, LeakyReLU, add, Dropout, add, , 13.0
proj[] = Sequential, add, Flatten, add, Dense, add, Activation, add, , 13.0
proj[] = Sigmoid, get_output_shape, forward, Conv2D, get_output_shape, define_private_input, initialize, forward, , 13.0
proj[] = TimeDistributedDense, add, Activation, Sequential, add, Cosine, add, Reshape, , 13.0
proj[] = _build_model, placeholder, predict, set, global_variables_initializer, run, run, zeros, , 13.0
proj[] = add, BatchNormalization, add, Conv2D, add, LeakyReLU, add, Dropout, , 13.0
proj[] = add, BatchNormalization, add, UpSampling2D, add, Conv2D, add, Activation, , 13.0
proj[] = add, Dropout, add, Conv2D, add, LeakyReLU, add, Dropout, , 13.0
proj[] = add, LeakyReLU, add, Dropout, add, Conv2D, add, LeakyReLU, , 13.0
proj[] = add, TimeDistributedDense, add, Activation, Sequential, add, Cosine, add, , 13.0
proj[] = arange, arange, predict, ravel, ravel, reshape, figure, pcolormesh, , 13.0
proj[] = arange, predict, ravel, ravel, reshape, figure, pcolormesh, scatter, , 13.0
proj[] = define_private_input, initialize, forward, Sigmoid, get_output_shape, forward, Conv2D, get_output_shape, , 13.0
proj[] = dict, BatchNorm, Scale, dict, ReLU, Convolution, dict, dict, , 13.0
proj[] = dict, dict, BatchNorm, Scale, dict, ReLU, Convolution, dict, , 13.0
proj[] = forward, Sigmoid, get_output_shape, forward, Conv2D, get_output_shape, define_private_input, initialize, , 13.0
proj[] = initialize, forward, Sigmoid, get_output_shape, forward, Conv2D, get_output_shape, define_private_input, , 13.0
proj[] = print, predict, print, predict, print, predict, print, predict, , 13.0
proj[] = print, print, predict, print, predict, print, predict, print, , 13.0
proj[] = , create_input_dict_fn, prefetch, dequeue, expand_dims, preprocess, to_float, predict, , 12.0
proj[] = Activation, add, BatchNormalization, add, MaxPooling2D, add, Conv2D, l2, , 12.0
proj[] = Activation, add, Conv2D, l2, add, BatchNormalization, add, Activation, , 12.0
proj[] = Activation, add, Dropout, add, Convolution2D, add, BatchNormalization, add, , 12.0
proj[] = BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, Sequential, LambdaMap, Sequential, , 12.0
proj[] = BatchNorm2d, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Sequential, Conv2d, , 12.0
proj[] = BatchNormalization, add, Activation, add, Conv2D, l2, add, BatchNormalization, , 12.0
proj[] = BatchNormalization, add, Activation, add, Dropout, add, Convolution2D, add, , 12.0
proj[] = BatchNormalization, add, Convolution2D, add, BatchNormalization, add, Activation, add, , 12.0
proj[] = BatchNormalization, add, MaxPooling2D, add, Conv2D, l2, add, Activation, , 12.0
proj[] = Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, , 12.0
proj[] = Conv2D, add, Conv2D, add, MaxPooling2D, add, Dropout, add, , 12.0
proj[] = Conv2D, get_output_shape, define_private_input, initialize, forward, Sigmoid, get_output_shape, forward, , 12.0
proj[] = Conv2D, l2, add, BatchNormalization, add, Activation, add, Conv2D, , 12.0
proj[] = Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, Sequential, LambdaMap, , 12.0
proj[] = Conv2d, BatchNorm2d, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Sequential, , 12.0
proj[] = Convolution2D, add, BatchNormalization, add, Activation, add, Dropout, add, , 12.0
proj[] = Convolution2D, add, BatchNormalization, add, Activation, add, MaxPooling2D, add, , 12.0
proj[] = Cosine, add, Reshape, Sequential, add, Dense, add, Activation, , 12.0
proj[] = Dense, add, Activation, add, Dense, add, Activation, compile, , 12.0
proj[] = Dense, add, Dense, add, Dense, add, Dense, rmsprop, , 12.0
proj[] = Dense, add, PReLU, add, BatchNormalization, add, Dropout, add, , 12.0
proj[] = Dropout, add, BatchNormalization, add, Conv2D, add, LeakyReLU, add, , 12.0
proj[] = Dropout, add, Convolution2D, add, BatchNormalization, add, Convolution2D, add, , 12.0
proj[] = Graph, _build_model, to_float, random_uniform, preprocess, predict, postprocess, Variable, , 12.0
proj[] = GraphConv, add, GraphPool, add, Dense, add_test, GraphGather, add_support, , 12.0
proj[] = GraphPool, add, GraphConv, add, GraphPool, add, Dense, add_test, , 12.0
proj[] = IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, MaxPooling2D, , 12.0
proj[] = IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, Conv2D, , 12.0
proj[] = IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, , 12.0
proj[] = LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Conv2d, BatchNorm2d, ReLU, , 12.0
proj[] = LeakyReLU, add, Dropout, add, BatchNormalization, add, Conv2D, add, , 12.0
proj[] = MaxPooling2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, , 12.0
proj[] = MaxPooling2D, add, Conv2D, add, MaxPooling2D, add, Flatten, add, , 12.0
proj[] = MaxPooling2D, add, Conv2D, l2, add, Activation, add, BatchNormalization, , 12.0
proj[] = MaxPooling2D, add, Flatten, add, Dense, add, Activation, add, , 12.0
proj[] = ReLU, Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, Sequential, , 12.0
proj[] = ReLU, Sequential, LambdaMap, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, , 12.0
proj[] = Reshape, get_output, get_input, add, Activation, print, compile, print, , 12.0
proj[] = Sequential, Linear, ReLU, Linear, Sequential, Linear, ReLU, Linear, , 12.0
proj[] = Sequential, Sequential, LambdaMap, Sequential, Sequential, Conv2d, BatchNorm2d, ReLU, , 12.0
proj[] = Sequential, add, Conv2D, add, Conv2D, add, MaxPooling2D, add, , 12.0
proj[] = Sequential, add, Cosine, add, Reshape, Sequential, add, Dense, , 12.0
proj[] = Sequential, add, Dense, add, Dense, rmsprop, compile, Sequential, , 12.0
proj[] = StratifiedKFold, LogisticRegression, fit, predict, enumerate, split, mode, LogisticRegression, , 12.0
proj[] = __init__, Conv2d, BatchNorm2d, Conv2d, BatchNorm2d, Conv2d, BatchNorm2d, ReLU, , 12.0
proj[] = _build_arg_scope_with_conv_hyperparams, predict, concat, concat, graph_fn, random_uniform, random_uniform, set, , 12.0
proj[] = add, Activation, add, BatchNormalization, add, MaxPooling2D, add, Conv2D, , 12.0
proj[] = add, Activation, add, Conv2D, l2, add, BatchNormalization, add, , 12.0
proj[] = add, Activation, add, Dropout, add, Convolution2D, add, BatchNormalization, , 12.0
proj[] = add, Activation, add, MaxPooling2D, add, Dropout, add, Conv2D, , 12.0
proj[] = add, BatchNormalization, add, Activation, add, Conv2D, l2, add, , 12.0
proj[] = add, BatchNormalization, add, Activation, add, Dropout, add, Convolution2D, , 12.0
proj[] = add, BatchNormalization, add, Convolution2D, add, BatchNormalization, add, Activation, , 12.0
proj[] = add, BatchNormalization, add, MaxPooling2D, add, Conv2D, l2, add, , 12.0
proj[] = add, Conv2D, add, Conv2D, add, MaxPooling2D, add, Dropout, , 12.0
proj[] = add, Conv2D, add, MaxPooling2D, add, Conv2D, add, Conv2D, , 12.0
proj[] = add, Convolution2D, add, BatchNormalization, add, Activation, add, Dropout, , 12.0
proj[] = add, Convolution2D, add, BatchNormalization, add, Activation, add, MaxPooling2D, , 12.0
proj[] = add, Cosine, add, Reshape, Sequential, add, Dense, add, , 12.0
proj[] = add, Dense, add, PReLU, add, BatchNormalization, add, Dropout, , 12.0
proj[] = add, Dense, add, PReLU, add, Dropout, add, BatchNormalization, , 12.0
proj[] = add, Dropout, add, BatchNormalization, add, Conv2D, add, LeakyReLU, , 12.0
proj[] = add, Dropout, add, Convolution2D, add, BatchNormalization, add, Convolution2D, , 12.0
proj[] = add, GraphConv, add, GraphPool, add, Dense, add_test, GraphGather, , 12.0
proj[] = add, GraphPool, add, Dense, add_test, GraphGather, add_support, GraphGather, , 12.0
proj[] = add, LSTM, add, Dropout, add, Dense, add, Activation, , 12.0
proj[] = add, LeakyReLU, add, Dropout, add, BatchNormalization, add, Conv2D, , 12.0
proj[] = add, MaxPooling2D, add, Conv2D, add, MaxPooling2D, add, Flatten, , 12.0
proj[] = add, MaxPooling2D, add, Flatten, add, Dense, add, Activation, , 12.0
proj[] = add, PReLU, add, BatchNormalization, add, Dropout, add, Dense, , 12.0
proj[] = add, Reshape, get_output, get_input, add, Activation, print, compile, , 12.0
proj[] = any, provide_groundtruth, predict, loss, add_loss, values, create_model_fn, build, , 12.0
proj[] = assert_array_almost_equal, assert_almost_equal, ElasticNet, fit, predict, assert_array_almost_equal, assert_array_almost_equal, assert_almost_equal, , 12.0
proj[] = assert_array_almost_equal, assert_array_almost_equal, assert_almost_equal, ElasticNet, fit, predict, assert_array_almost_equal, assert_array_almost_equal, , 12.0
proj[] = assert_array_equal, assert_array_equal, zeros, StratifiedKFold, LogisticRegression, fit, predict, enumerate, , 12.0
proj[] = assert_array_equal, zeros, StratifiedKFold, LogisticRegression, fit, predict, enumerate, split, , 12.0
proj[] = create_input_dict_fn, prefetch, dequeue, expand_dims, preprocess, to_float, predict, postprocess, , 12.0
proj[] = fit, predict, assert_array_almost_equal, assert_array_almost_equal, assert_almost_equal, ElasticNet, fit, predict, , 12.0
proj[] = get_output_shape, define_private_input, initialize, forward, Sigmoid, get_output_shape, forward, Conv2D, , 12.0
proj[] = l2, add, BatchNormalization, add, Activation, add, Conv2D, l2, , 12.0
proj[] = len, predict, nonzero, len, append, int, range, int, , 12.0
proj[] = predict, assert_array_almost_equal, assert_array_almost_equal, assert_almost_equal, ElasticNet, fit, predict, assert_array_almost_equal, , 12.0
proj[] = predict, loss, add_loss, values, create_model_fn, build, DeploymentConfig, create_global_step, , 12.0
proj[] = provide_groundtruth, predict, loss, add_loss, values, create_model_fn, build, DeploymentConfig, , 12.0
proj[] = random_uniform, predict, assertAllEqual, get_shape, as_list, Hyperparams, Merge, build, , 12.0
proj[] = to_float, random_uniform, preprocess, predict, postprocess, Variable, restore_map, assertIsInstance, , 12.0
proj[] = zeros, StratifiedKFold, LogisticRegression, fit, predict, enumerate, split, mode, , 12.0
proj[] = 2, BasicConvLayer, 2, BasicConvLayer, 2, BasicConvLayer, 2, Flatten, , 11.0
proj[] = Activation, Convolution, Activation, Convolution, Activation, Pooling, Convolution, Activation, , 11.0
proj[] = Activation, add, Conv2D, l2, he_normal, add, BatchNormalization, add, , 11.0
proj[] = BatchNormalization, add, Activation, add, Conv2D, l2, he_normal, add, , 11.0
proj[] = Conv2D, add, MaxPooling2D, add, Conv2D, add, Conv2D, add, , 11.0
proj[] = Conv2d, BatchNormLayer, Conv2d, BatchNormLayer, Conv2d, BatchNormLayer, Conv2d, BatchNormLayer, , 11.0
proj[] = Convolution, Activation, Convolution, Activation, Convolution, Activation, Pooling, Convolution, , 11.0
proj[] = Convolution, BatchNorm, Activation, Pooling, Convolution, BatchNorm, Activation, Convolution, , 11.0
proj[] = Dense, 'predictions', GlobalAveragePooling2D, x, GlobalMaxPooling2D, x, get_source_inputs, Model, , 11.0
proj[] = Dense, add, LeakyReLU, add, BatchNormalization, add, Dense, add, , 11.0
proj[] = Dense, add, PReLU, add, Dropout, add, BatchNormalization, add, , 11.0
proj[] = LeakyReLU, add, BatchNormalization, add, Dense, add, LeakyReLU, add, , 11.0
proj[] = Linear, Sigmoid, Sequential, Linear, ReLU, Linear, Adam, parameters, , 11.0
proj[] = Linear, Sigmoid, Sequential, Linear, ReLU, Linear, Sigmoid, Adam, , 11.0
proj[] = PReLU, add, BatchNormalization, add, Dropout, add, Dense, add, , 11.0
proj[] = PReLU, add, Dropout, add, BatchNormalization, add, Dense, add, , 11.0
proj[] = ReLU, Linear, Sigmoid, Sequential, Linear, ReLU, Linear, Adam, , 11.0
proj[] = Sequential, Linear, ReLU, Linear, Adam, parameters, Adam, parameters, , 11.0
proj[] = Sequential, add, ZeroPadding2D, add, Convolution2D, add, ZeroPadding2D, add, , 11.0
proj[] = Sigmoid, Sequential, Linear, ReLU, Linear, Adam, parameters, Adam, , 11.0
proj[] = add, Activation, add, Conv2D, l2, he_normal, add, BatchNormalization, , 11.0
proj[] = add, BatchNormalization, add, Activation, add, Conv2D, l2, he_normal, , 11.0
proj[] = add, BatchNormalization, add, Dense, add, LeakyReLU, add, BatchNormalization, , 11.0
proj[] = add, Dense, add, Dropout, add, Dense, compile, Adadelta, , 11.0
proj[] = add, Dropout, add, Dense, add, Activation, compile, fit, , 11.0
proj[] = add, LeakyReLU, add, BatchNormalization, add, Dense, add, LeakyReLU, , 11.0
proj[] = add, PReLU, add, Dropout, add, BatchNormalization, add, Dense, , 11.0
proj[] = he_normal, add, BatchNormalization, add, Activation, add, Conv2D, l2, , 11.0
proj[] = l2, he_normal, add, BatchNormalization, add, Activation, add, Conv2D, , 11.0
proj[] = meshgrid, arange, arange, predict, ravel, ravel, reshape, contourf, , 11.0
proj[] = predict, subplots, imshow, axis, range, range, savefig, close, , 11.0
proj[] = print, to_categorical, to_categorical, Sequential, add, Dense, add, Activation, , 11.0
proj[] = random, random, Sequential, add, Conv2D, add, Conv2D, add, , 11.0
proj[] = replace, replace, len, array, Dense, l2, 1e-4, BatchNormalization, , 11.0
proj[] = , Hyperparams, Merge, build, random_uniform, MaskRCNNBoxPredictor, _build_arg_scope_with_hyperparams, predict, , 10.0
proj[] = .01, Dense, l2, 1e-4, Input, conv_block, AveragePooling3D, x1_ident, , 10.0
proj[] = 0.995, LeakyReLU, .01, Dense, l2, 1e-4, Input, conv_block, , 10.0
